Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2019-01-06,5,8,6,6,14,2,6,6,6,5,7,9,11,11,8,16,
2019-01-13,6,5,3,2,3,4,7,2,4,4,6,3,16,7,4,6,
2019-01-20,5,6,7,3,3,5,5,2,5,6,4,12,11,8,6,8,
2019-01-27,6,5,4,4,3,3,5,11,2,5,6,9,11,4,2,4,
2019-02-03,6,6,8,9,6,3,4,4,7,5,11,15,12,4,5,23,
2019-02-10,6,6,5,9,5,4,5,9,4,6,4,6,10,1,6,12,
2019-02-17,6,6,7,6,0,9,8,13,5,8,7,19,14,5,7,12,
2019-02-24,5,5,4,8,8,7,4,11,4,4,5,3,9,9,3,3,
2019-03-03,5,5,7,3,0,3,3,12,3,4,3,9,12,5,6,10,
2019-03-10,5,5,5,7,3,3,6,15,5,5,9,3,14,7,3,4,
2019-03-17,5,5,5,7,14,4,5,4,7,5,7,3,9,7,5,17,
2019-03-24,4,6,4,8,0,3,5,13,4,4,6,9,9,4,5,8,
2019-03-31,5,7,10,8,6,7,4,16,5,6,6,15,7,6,6,17,
2019-04-07,8,10,10,18,9,8,7,22,8,8,6,9,18,7,6,12,
2019-04-14,6,7,10,11,3,5,4,23,9,6,7,3,14,13,6,12,
2019-04-21,5,6,10,8,3,4,5,4,3,4,4,3,8,7,3,11,
2019-04-28,6,7,6,11,8,7,7,21,4,5,5,0,8,8,6,10,
2019-05-05,6,5,5,9,0,8,5,6,5,4,7,9,6,5,6,4,
2019-05-12,6,7,7,11,6,2,8,2,5,6,7,25,9,6,8,14,
2019-05-19,5,4,7,6,8,3,5,6,7,4,8,3,11,1,5,9,
2019-05-26,11,12,12,16,9,7,14,12,12,12,13,19,16,13,11,14,
2019-06-02,8,12,7,14,6,7,7,27,7,7,11,6,10,14,6,6,
2019-06-09,5,6,7,1,0,1,4,10,4,5,4,6,7,8,3,8,
2019-06-16,26,32,31,29,43,22,25,59,34,29,32,38,48,37,23,40,
2019-06-23,33,36,41,34,37,30,40,41,40,33,33,47,53,57,34,47,
2019-06-30,12,12,12,8,13,10,14,12,12,11,17,22,20,11,13,20,
2019-07-07,34,40,35,32,38,26,36,54,41,34,34,50,55,41,34,45,
2019-07-14,19,23,18,36,18,16,18,31,17,20,18,28,42,29,16,34,
2019-07-21,9,8,11,11,10,7,8,22,9,8,14,10,13,18,12,12,
2019-07-28,10,9,8,10,6,7,9,12,6,8,4,10,12,9,4,11,
2019-08-04,6,6,7,10,6,1,5,12,4,5,7,12,10,12,5,7,
2019-08-11,7,7,10,10,8,1,7,15,6,7,7,12,14,11,5,5,
2019-08-18,6,7,7,7,8,5,6,10,5,5,5,3,12,4,7,12,
2019-08-25,7,8,6,8,3,9,6,14,8,9,9,6,14,11,10,9,
2019-09-01,7,10,9,16,10,6,7,12,8,9,13,18,21,9,5,6,
2019-09-08,6,7,6,6,11,3,11,6,7,5,8,21,5,9,4,9,
2019-09-15,5,7,7,3,8,5,3,4,4,4,9,6,9,0,4,8,
2019-09-22,8,10,7,10,3,6,9,22,9,8,9,26,18,14,9,23,
2019-09-29,6,8,7,6,0,6,4,12,6,6,6,9,10,5,12,7,
2019-10-06,6,7,5,5,0,2,4,8,4,4,4,0,13,8,4,8,
2019-10-13,5,6,6,7,8,3,4,7,4,3,7,6,12,4,2,7,
2019-10-20,4,7,7,7,3,4,5,4,4,6,8,14,15,6,6,14,
2019-10-27,7,6,9,6,3,4,7,7,7,6,10,8,12,12,4,12,
2019-11-03,6,6,8,11,8,3,7,7,6,7,8,3,19,7,5,8,
2019-11-10,5,6,6,4,2,3,5,6,5,4,6,8,14,5,2,11,
2019-11-17,6,5,4,7,2,1,5,6,4,4,5,16,10,9,1,3,
2019-11-24,5,5,8,3,0,1,8,10,5,5,4,3,8,11,2,7,
2019-12-01,6,5,7,5,8,5,5,14,6,5,3,8,8,10,6,14,
2019-12-08,5,7,6,1,0,2,5,14,6,4,3,5,9,4,2,14,
2019-12-15,3,6,6,3,3,1,5,2,4,3,6,8,7,6,4,4,
2019-12-22,5,6,5,6,6,5,4,14,4,4,6,15,7,5,3,7,
2019-12-29,17,21,10,25,9,7,19,44,17,15,19,26,34,30,14,24,
2020-01-05,7,6,8,10,7,3,7,5,5,6,6,5,9,11,2,18,
2020-01-12,4,4,7,8,5,5,4,7,4,4,5,13,9,6,5,6,
2020-01-19,7,9,7,9,7,5,7,9,7,5,7,5,8,4,5,6,
2020-01-26,4,6,5,2,0,1,3,9,4,5,3,3,7,3,1,1,
2020-02-02,8,10,8,7,15,5,9,14,6,7,8,16,17,9,8,24,
2020-02-09,9,11,12,9,10,6,8,15,7,10,10,13,21,13,7,12,
2020-02-16,6,8,8,5,2,4,7,9,5,6,12,16,11,7,6,17,
2020-02-23,5,6,8,12,0,4,10,11,6,6,6,13,11,7,8,8,
2020-03-01,8,9,7,6,2,6,10,11,6,7,9,15,13,9,7,11,
2020-03-08,23,28,27,17,26,19,23,22,20,21,21,22,28,16,14,16,
2020-03-15,70,98,100,100,100,100,93,100,97,100,100,100,100,62,100,89,
2020-03-22,81,100,86,78,72,64,100,63,90,92,96,93,93,86,87,100,
2020-03-29,20,23,20,21,7,16,22,22,20,19,20,32,24,29,19,17,
2020-04-05,25,25,24,24,31,17,29,25,26,27,25,32,25,15,26,24,
2020-04-12,100,100,73,76,91,71,97,89,100,97,96,98,89,100,91,98,
2020-04-19,19,24,20,20,26,19,20,37,20,19,20,31,27,19,20,26,
2020-04-26,28,31,25,25,20,24,33,21,27,31,37,49,42,35,25,26,
2020-05-03,30,33,28,32,26,25,39,18,32,40,40,44,36,25,24,41,
2020-05-10,10,13,15,15,19,14,16,24,11,12,11,19,18,15,13,14,
2020-05-17,8,9,7,4,5,7,6,16,10,8,8,7,15,5,9,13,
2020-05-24,10,9,9,12,7,7,9,13,12,9,9,15,14,20,9,17,
2020-05-31,8,11,12,9,14,6,14,26,10,9,12,16,12,5,8,9,
2020-06-07,7,6,9,8,2,4,8,6,5,6,7,5,7,4,5,7,
2020-06-14,7,9,10,4,9,5,12,11,5,6,9,7,9,4,8,6,
2020-06-21,7,8,8,8,5,5,8,8,6,6,7,5,12,8,6,8,
2020-06-28,9,12,11,9,19,8,10,8,7,7,9,12,16,17,9,17,
2020-07-05,8,8,8,9,7,6,7,6,9,7,8,16,11,6,7,13,
2020-07-12,15,11,10,17,5,5,10,10,11,9,12,16,21,13,7,22,
2020-07-19,8,7,11,7,8,4,5,8,7,6,9,6,17,18,7,6,
2020-07-26,4,6,3,9,8,4,8,6,2,4,7,3,12,6,5,7,
2020-08-02,5,6,7,8,8,5,5,15,6,5,8,8,9,8,4,10,
2020-08-09,5,7,4,6,2,3,5,6,5,5,9,10,9,5,6,7,
2020-08-16,5,10,10,7,0,6,7,11,5,9,7,11,5,9,9,4,
2020-08-23,14,15,14,8,24,8,14,11,11,12,19,13,19,7,14,11,
2020-08-30,7,8,9,8,15,7,8,13,6,8,9,8,13,8,7,9,
2020-09-06,6,6,7,7,0,3,5,8,4,4,7,5,11,5,4,7,
2020-09-13,5,6,9,7,3,9,4,7,5,5,9,5,13,11,6,10,
2020-09-20,5,5,6,8,8,3,4,10,4,6,8,5,11,5,3,11,
2020-09-27,12,13,12,7,5,8,9,20,11,11,12,19,14,10,9,12,
2020-10-04,7,6,7,10,15,7,11,3,8,8,10,19,8,11,11,16,
2020-10-11,17,19,19,18,19,10,16,27,18,19,21,31,28,19,19,17,
2020-10-18,9,11,10,16,8,9,12,15,8,12,10,11,16,9,7,14,
2020-10-25,48,52,41,42,66,38,51,35,48,52,57,83,48,37,52,42,
2020-11-01,14,21,14,19,24,10,15,21,20,17,19,22,33,25,22,20,
2020-11-08,12,15,13,10,10,10,12,27,12,12,13,18,20,12,14,12,
2020-11-15,28,35,23,39,33,22,30,44,29,34,40,26,38,51,23,50,
2020-11-22,19,29,18,27,10,17,24,39,24,25,34,21,29,24,21,20,
2020-11-29,8,9,9,14,3,9,5,11,9,8,11,13,10,8,11,13,
2020-12-06,21,27,22,18,28,21,21,21,25,23,31,26,30,28,25,30,
2020-12-13,17,24,18,16,18,12,24,32,23,21,27,21,27,16,14,18,
2020-12-20,9,10,8,14,0,6,9,10,8,8,7,3,10,8,5,10,
2020-12-27,15,18,12,19,8,20,16,26,19,15,15,11,19,17,16,21,